fecha,latitud,longitud,alcaldia,colonia,temp,precip,humedad,viento,radiacion,presion,incidente
2019-03-05,19.366416,-99.002064,IZTAPALAPA,ERMITA ZARAGOZA (U HAB) I,16.38,1.25,55.18,0.68,6.0089,74.68,Encharcamiento
2019-03-05,19.365711,-99.002085,IZTAPALAPA,ERMITA ZARAGOZA (U HAB) I,16.38,1.25,55.18,0.68,6.0089,74.68,Encharcamiento
2019-03-05,19.361204,-98.999794,IZTAPALAPA,ERMITA ZARAGOZA (U HAB) I,16.38,1.25,55.18,0.68,6.066,74.68,Encharcamiento
2019-03-05,19.361204,-98.999794,IZTAPALAPA,ERMITA ZARAGOZA (U HAB) I,16.38,1.25,55.18,0.68,6.066,74.68,Inundacion
2019-03-05,19.365998,-99.021706,IZTAPALAPA,SANTA MARTHA ACATITLA SUR (AMPL),16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.40187,-99.161927,BENITO JUAREZ,PIEDAD NARVARTE,16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
2019-03-05,19.349009,-99.020897,IZTAPALAPA,STA MA AZTAHUACAN (PBLO),16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.372413,-99.016981,IZTAPALAPA,SANTA MARTHA ACATITLA,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.372413,-99.016981,IZTAPALAPA,SANTA MARTHA ACATITLA,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.42263,-99.16277,CUAUHTEMOC,ROMA NORTE II,16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
2019-03-05,19.42263,-99.16277,CUAUHTEMOC,ROMA NORTE II,16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
2019-03-05,19.372413,-99.016981,IZTAPALAPA,SANTA MARTHA ACATITLA,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.372413,-99.016981,IZTAPALAPA,SANTA MARTHA ACATITLA,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.42263,-99.16277,CUAUHTEMOC,ROMA NORTE II,16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
2019-03-05,19.42263,-99.16277,CUAUHTEMOC,ROMA NORTE II,16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
2019-03-05,19.353853,-99.036695,IZTAPALAPA,SANTA MARIA AZTAHUACAN (EJ) II,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.353853,-99.036695,IZTAPALAPA,SANTA MARIA AZTAHUACAN (EJ) II,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.353853,-99.036695,IZTAPALAPA,SANTA MARIA AZTAHUACAN (EJ) II,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.353853,-99.036695,IZTAPALAPA,SANTA MARIA AZTAHUACAN (EJ) II,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.353853,-99.036695,IZTAPALAPA,SANTA MARIA AZTAHUACAN (EJ) II,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.353853,-99.036695,IZTAPALAPA,SANTA MARIA AZTAHUACAN (EJ) II,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
